"Name","State","Notes","User","Tags","Created","Runtime","Sweep","model_name","accelerator","auto_lr_find","auto_scale_batch_size","batch_size","censor_level","censored","check_val_every_n_epoch","cluster","covariates","dataloader","detect_anomaly","devices","enable_checkpointing","enable_model_summary","enable_progress_bar","fast_dev_run","feat_max_val","forecast_lead","hidden_dim","inference_mode","input_dim","learning_rate","log_every_n_steps","logger","loss","loss_fn","max_epochs","max_steps","move_metrics_to_cpu","multiple_stations","multiple_trainloader_mode","no_self_loops","node_features","num_layers","num_nodes","num_sanity_val_steps","output_dim","overfit_batches","precision","pretrained","reload_dataloaders_every_n_epochs","replace_sampler_ddp","sequence_length","sync_batchnorm","test_end","track_grad_norm","train_end","train_start","val_end","weight_decay","censor_dyanmic","censor_dynamic","forecast_horizon","mode","save_predictions","use_activation","adjecency_threshold","use_dropout","print_cluster_loss","epoch","test_loss","test_loss_true","test_mae","test_mse","test_rmse","train_loss","train_loss_true","train_mae","train_mse","train_rmse","trainer/global_step","val_loss","val_loss_true","val_mae","val_mse","val_rmse","test_loss_0","test_loss_1","test_loss_2","test_loss_3","test_loss_4","test_loss_5","test_loss_6","test_loss_7","BRYANT_test_loss","BRYANT_test_loss_true","BRYANT_test_mae","BRYANT_test_mse","BRYANT_test_rmse","BRYANT_val_loss","BRYANT_val_loss_true","BRYANT_val_mae","BRYANT_val_mse","BRYANT_val_rmse","CAMBRIDGE_test_loss","CAMBRIDGE_test_loss_true","CAMBRIDGE_test_mae","CAMBRIDGE_test_mse","CAMBRIDGE_test_rmse","CAMBRIDGE_val_loss","CAMBRIDGE_val_loss_true","CAMBRIDGE_val_mae","CAMBRIDGE_val_mse","CAMBRIDGE_val_rmse","HAMILTON_test_loss","HAMILTON_test_loss_true","HAMILTON_test_mae","HAMILTON_test_mse","HAMILTON_test_rmse","HAMILTON_val_loss","HAMILTON_val_loss_true","HAMILTON_val_mae","HAMILTON_val_mse","HAMILTON_val_rmse","HIGH_test_loss","HIGH_test_loss_true","HIGH_test_mae","HIGH_test_mse","HIGH_test_rmse","HIGH_val_loss","HIGH_val_loss_true","HIGH_val_mae","HIGH_val_mse","HIGH_val_rmse","MPL_test_loss","MPL_test_loss_true","MPL_test_mae","MPL_test_mse","MPL_test_rmse","MPL_val_loss","MPL_val_loss_true","MPL_val_mae","MPL_val_mse","MPL_val_rmse","RINCONADA_test_loss","RINCONADA_test_loss_true","RINCONADA_test_mae","RINCONADA_test_mse","RINCONADA_test_rmse","RINCONADA_val_loss","RINCONADA_val_loss_true","RINCONADA_val_mae","RINCONADA_val_mse","RINCONADA_val_rmse","TED_test_loss","TED_test_loss_true","TED_test_mae","TED_test_mse","TED_test_rmse","TED_val_loss","TED_val_loss_true","TED_val_mae","TED_val_mse","TED_val_rmse","WEBSTER_test_loss","WEBSTER_test_loss_true","WEBSTER_test_mae","WEBSTER_test_mse","WEBSTER_test_rmse","WEBSTER_val_loss","WEBSTER_val_loss_true","WEBSTER_val_mae","WEBSTER_val_mse","WEBSTER_val_rmse"
"summer-gorge-3583","finished","-","jujusi","","2023-06-11T13:47:43.000Z","298","","LSTM","gpu","false","false","60","1","true","1","WEBSTER","true","EVChargersDataset","false","1","true","true","true","false","","48","163","true","8","0.000551852709389429","50","true","CPNLL","censored_poisson_negative_log_likelihood","20","-1","false","false","max_size_cycle","","","1","1","2","","0","32","","0","true","336","false","2019-07-01","-1","2018-10-01","2017-01-01","2019-04-01","0.050701755088873625","","true","1","train","false","","","","","20","1.2750502824783323","0.02983000874519348","1.13751482963562","2.385437488555908","1.4932284355163574","1.1178914308547974","-0.7110103368759155","1.2240575551986694","2.9027225971221924","1.690138339996338","10100","1.1602064371109009","-0.22513550519943237","0.9738022089004515","1.851300597190857","1.3197981119155884","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"generous-glitter-3581","finished","-","jujusi","","2023-06-11T13:42:29.000Z","289","","LSTM","gpu","false","false","60","1","true","1","HIGH","true","EVChargersDataset","false","1","true","true","true","false","","48","163","true","8","0.000551852709389429","50","true","CPNLL","censored_poisson_negative_log_likelihood","20","-1","false","false","max_size_cycle","","","1","1","2","","0","32","","0","true","336","false","2019-07-01","-1","2018-10-01","2017-01-01","2019-04-01","0.050701755088873625","","true","1","train","false","","","","","20","1.393595576286316","-0.24605165421962735","1.0034644603729248","1.9408007860183716","1.3762362003326416","1.3462251424789429","-0.7415412068367004","1.0343626737594604","1.9998540878295896","1.4037158489227295","10100","1.43122398853302","-0.26095685362815857","1.0604690313339231","2.1474597454071045","1.4243141412734983","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"sage-resonance-3579","finished","-","jujusi","","2023-06-11T13:36:54.000Z","289","","LSTM","gpu","false","false","60","1","true","1","TED","true","EVChargersDataset","false","1","true","true","true","false","","48","163","true","8","0.000551852709389429","50","true","CPNLL","censored_poisson_negative_log_likelihood","20","-1","false","false","max_size_cycle","","","1","1","2","","0","32","","0","true","336","false","2019-07-01","-1","2018-10-01","2017-01-01","2019-04-01","0.050701755088873625","","true","1","train","false","","","","","20","1.3876664638519287","0.2392881214618683","0.9532676935195924","1.7456645965576172","1.2691179513931274","0.9509105682373048","0.7368021607398987","0.7601767778396606","0.9802828431129456","0.9815706610679626","10100","1.3653805255889893","0.199976310133934","0.9713455438613892","2.0521907806396484","1.355748414993286","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"celestial-wind-3577","finished","-","jujusi","","2023-06-11T13:31:30.000Z","296","","LSTM","gpu","false","false","60","1","true","1","HAMILTON","true","EVChargersDataset","false","1","true","true","true","false","","48","163","true","8","0.000551852709389429","50","true","CPNLL","censored_poisson_negative_log_likelihood","20","-1","false","false","max_size_cycle","","","1","1","2","","0","32","","0","true","336","false","2019-07-01","-1","2018-10-01","2017-01-01","2019-04-01","0.050701755088873625","","true","1","train","false","","","","","20","0.6240993142127991","0.6148905158042908","0.8289378881454468","1.1797724962234497","1.0546016693115234","0.6060168743133545","0.6190586090087891","0.9483343362808228","1.4850658178329468","1.211558222770691","10100","0.6638414263725281","0.6272628307342529","0.8065993189811707","1.1278445720672607","1.0301278829574585","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"brisk-grass-3575","finished","-","jujusi","","2023-06-11T13:26:13.000Z","297","","LSTM","gpu","false","false","60","1","true","1","RINCONADA","true","EVChargersDataset","false","1","true","true","true","false","","48","163","true","8","0.000551852709389429","50","true","CPNLL","censored_poisson_negative_log_likelihood","20","-1","false","false","max_size_cycle","","","1","1","2","","0","32","","0","true","336","false","2019-07-01","-1","2018-10-01","2017-01-01","2019-04-01","0.050701755088873625","","true","1","train","false","","","","","20","0.9773741364479064","0.8989184498786926","0.6773518323898315","0.7271543145179749","0.8269544243812561","0.8457078337669373","0.7762250304222107","0.7224175333976746","0.820867657661438","0.9001220464706421","10100","1.0235414505004885","0.9427024126052856","0.6932188272476196","0.7223186492919922","0.8213544487953186","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"fresh-shape-3573","finished","-","jujusi","","2023-06-11T13:20:49.000Z","292","","LSTM","gpu","false","false","60","1","true","1","CAMBRIDGE","true","EVChargersDataset","false","1","true","true","true","false","","48","163","true","8","0.000551852709389429","50","true","CPNLL","censored_poisson_negative_log_likelihood","20","-1","false","false","max_size_cycle","","","1","1","2","","0","32","","0","true","336","false","2019-07-01","-1","2018-10-01","2017-01-01","2019-04-01","0.050701755088873625","","true","1","train","false","","","","","20","1.6846283674240112","-0.5006235241889954","1.1662235260009766","2.7533490657806396","1.6150778532028198","1.0246156454086304","0.21429336071014404","0.952585518360138","1.6662514209747314","1.2816776037216189","10100","1.488197922706604","-0.13312631845474243","1.0563942193984983","2.3269193172454834","1.4724056720733645","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"rural-sun-3569","finished","-","jujusi","","2023-06-11T13:15:09.000Z","291","","LSTM","gpu","false","false","60","1","true","1","MPL","true","EVChargersDataset","false","1","true","true","true","false","","48","163","true","8","0.000551852709389429","50","true","CPNLL","censored_poisson_negative_log_likelihood","20","-1","false","false","max_size_cycle","","","1","1","2","","0","32","","0","true","336","false","2019-07-01","-1","2018-10-01","2017-01-01","2019-04-01","0.050701755088873625","","true","1","train","false","","","","","20","1.0746535062789917","0.7833464741706848","0.68183434009552","0.7097025513648987","0.828627347946167","1.255233645439148","0.4120436012744904","0.8081250786781311","1.05042564868927","1.0192553997039795","10100","1.0616505146026611","0.7780410647392273","0.6771760582923889","0.6880597472190857","0.8181078433990479","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"smart-elevator-3568","finished","-","jujusi","","2023-06-11T13:09:28.000Z","300","","LSTM","gpu","false","false","60","1","true","1","BRYANT","true","EVChargersDataset","false","1","true","true","true","false","","48","163","true","8","0.000551852709389429","50","true","CPNLL","censored_poisson_negative_log_likelihood","20","-1","false","false","max_size_cycle","","","1","1","2","","0","32","","0","true","336","false","2019-07-01","-1","2018-10-01","2017-01-01","2019-04-01","0.050701755088873625","","true","1","train","false","","","","","20","1.4818936586380005","-0.5746493935585022","1.1600831747055054","2.6916487216949463","1.58256733417511","1.3890573978424072","-0.3422911763191223","0.9942319989204408","1.8620567321777344","1.3544275760650637","10100","1.575731873512268","-0.7436789274215698","1.1987543106079102","3.0015268325805664","1.6777862310409546","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"exalted-cherry-3566","finished","-","jujusi","","2023-06-11T13:04:39.000Z","269","","LSTM","gpu","false","false","60","1","true","1","WEBSTER","true","EVChargersDataset","false","1","true","true","true","false","","48","163","true","8","0.000551852709389429","50","true","CPNLL","censored_poisson_negative_log_likelihood","20","-1","false","false","max_size_cycle","","","1","1","2","","0","32","","0","true","336","false","2019-07-01","-1","2018-10-01","2017-01-01","2019-04-01","0.050701755088873625","","true","1","train","false","","","","","20","1.2569711208343506","0.003656840417534113","1.077659249305725","2.108236312866211","1.407816767692566","1.1133965253829956","-0.7073729038238525","1.2417961359024048","3.027397632598877","1.724145770072937","10100","1.1457343101501465","-0.233210951089859","0.9678006172180176","1.8268333673477173","1.3102550506591797","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"cerulean-elevator-3564","finished","-","jujusi","","2023-06-11T12:59:52.000Z","269","","LSTM","gpu","false","false","60","1","true","1","HIGH","true","EVChargersDataset","false","1","true","true","true","false","","48","163","true","8","0.000551852709389429","50","true","CPNLL","censored_poisson_negative_log_likelihood","20","-1","false","false","max_size_cycle","","","1","1","2","","0","32","","0","true","336","false","2019-07-01","-1","2018-10-01","2017-01-01","2019-04-01","0.050701755088873625","","true","1","train","false","","","","","20","1.4253512620925903","-0.21429578959941864","1.0572549104690552","2.146367073059082","1.4441990852355957","1.3536972999572754","-0.7367666363716125","1.0408148765563965","2.014601469039917","1.408880352973938","10100","1.451540231704712","-0.2400633841753006","1.095877170562744","2.245905876159668","1.4562124013900757","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
